MARKET,NAME,SYMBOL,DATEDEAL,OPEN,HIGH,LOW,CLOSE,DIFF,VOLUME
KOSPI,삼성전자,005930,2016-01-04,25200,25200,24100,24100,-4.37,306939
KOSPI,삼성전자,005930,2016-01-05,24040,24360,23720,24160,0.25,216002
KOSPI,삼성전자,005930,2016-01-06,24160,24160,23360,23500,-2.73,366752
KOSPI,삼성전자,005930,2016-01-07,23320,23660,23020,23260,-1.02,282388
KOSPI,삼성전자,005930,2016-01-08,23260,23720,23260,23420,0.69,257763
KOSPI,삼성전자,005930,2016-01-11,23120,23320,22920,23040,-1.62,241277
KOSPI,삼성전자,005930,2016-01-12,22960,23320,22880,22920,-0.52,206283
KOSPI,삼성전자,005930,2016-01-13,23060,23180,22960,22960,0.17,143316
KOSPI,삼성전자,005930,2016-01-14,22620,22840,22620,22760,-0.87,209022
KOSPI,삼성전자,005930,2016-01-15,22800,23040,22480,22640,-0.53,209464
KOSPI,삼성전자,005930,2016-01-18,21760,22660,21760,22520,-0.53,320214
KOSPI,삼성전자,005930,2016-01-19,22560,23420,22560,23420,4,207242
KOSPI,삼성전자,005930,2016-01-20,23200,23200,22640,22760,-2.82,167052
KOSPI,삼성전자,005930,2016-01-21,22660,23100,22500,22620,-0.62,190352
KOSPI,삼성전자,005930,2016-01-22,22900,23360,22900,23360,3.27,147528
KOSPI,삼성전자,005930,2016-01-25,23440,23520,23120,23240,-0.51,159913
KOSPI,삼성전자,005930,2016-01-26,23100,23140,22720,22740,-2.15,152399
KOSPI,삼성전자,005930,2016-01-27,22520,23500,22520,23500,3.34,276237
KOSPI,삼성전자,005930,2016-01-28,23280,23360,22780,22900,-2.55,315912
KOSPI,삼성전자,005930,2016-01-29,22800,23000,22320,23000,0.44,436983
KOSPI,삼성전자,005930,2016-02-01,23040,23260,23020,23260,1.13,259979
KOSPI,삼성전자,005930,2016-02-02,23220,23320,22940,23120,-0.6,166348
KOSPI,삼성전자,005930,2016-02-03,23000,23040,22740,22920,-0.87,174507
KOSPI,삼성전자,005930,2016-02-04,23000,23220,22960,23120,0.87,247959
KOSPI,삼성전자,005930,2016-02-05,23120,23380,23120,23280,0.69,188094
KOSPI,삼성전자,005930,2016-02-11,22360,22740,22360,22600,-2.92,305262
KOSPI,삼성전자,005930,2016-02-12,22600,23020,22440,22600,0,256232
KOSPI,삼성전자,005930,2016-02-15,23080,23200,22880,23080,2.12,183146
KOSPI,삼성전자,005930,2016-02-16,23160,23580,23140,23360,1.21,180401
KOSPI,삼성전자,005930,2016-02-17,23580,24020,23380,23700,1.46,246062
KOSPI,삼성전자,005930,2016-02-18,24060,24060,23560,23740,0.17,222481
KOSPI,삼성전자,005930,2016-02-19,23740,23900,23480,23800,0.25,176852
KOSPI,삼성전자,005930,2016-02-22,23800,23840,23320,23500,-1.26,174899
KOSPI,삼성전자,005930,2016-02-23,23580,23780,23460,23620,0.51,147674
KOSPI,삼성전자,005930,2016-02-24,23560,23580,23220,23440,-0.76,140484
KOSPI,삼성전자,005930,2016-02-25,23440,23740,23440,23580,0.6,133635
KOSPI,삼성전자,005930,2016-02-26,23600,23740,23440,23440,-0.59,177344
KOSPI,삼성전자,005930,2016-02-29,23580,23880,23520,23560,0.51,288680
KOSPI,삼성전자,005930,2016-03-02,24000,24140,23920,23940,1.61,236372
KOSPI,삼성전자,005930,2016-03-03,24260,24400,24040,24400,1.92,218991
KOSPI,삼성전자,005930,2016-03-04,24400,24560,24040,24300,-0.41,201490
KOSPI,삼성전자,005930,2016-03-07,24400,24620,24300,24460,0.66,131376
KOSPI,삼성전자,005930,2016-03-08,24460,24480,23720,23840,-2.53,216202
KOSPI,삼성전자,005930,2016-03-09,23760,23980,23540,23880,0.17,183380
KOSPI,삼성전자,005930,2016-03-10,24160,24720,24020,24500,2.6,283540
KOSPI,삼성전자,005930,2016-03-11,24500,25060,24320,24980,1.96,267225
KOSPI,삼성전자,005930,2016-03-14,25340,25460,24980,25100,0.48,217154
KOSPI,삼성전자,005930,2016-03-15,25100,25280,24920,25060,-0.16,172808
KOSPI,삼성전자,005930,2016-03-16,25120,25260,25060,25120,0.24,146856
KOSPI,삼성전자,005930,2016-03-17,25300,25920,25140,25260,0.56,246869
KOSPI,삼성전자,005930,2016-03-18,25560,25560,25260,25460,0.79,225314
KOSPI,삼성전자,005930,2016-03-21,25480,25580,25160,25340,-0.47,181170
KOSPI,삼성전자,005930,2016-03-22,25340,25580,25240,25380,0.16,202872
KOSPI,삼성전자,005930,2016-03-23,25380,25580,25240,25580,0.79,197418
KOSPI,삼성전자,005930,2016-03-24,25580,25800,25320,25640,0.23,218795
KOSPI,삼성전자,005930,2016-03-25,25660,25800,25560,25760,0.47,143446
KOSPI,삼성전자,005930,2016-03-28,25760,26000,25760,25880,0.47,121218
KOSPI,삼성전자,005930,2016-03-29,25880,26000,25700,25800,-0.31,172454
KOSPI,삼성전자,005930,2016-03-30,26200,26419,26040,26160,1.4,267605
KOSPI,삼성전자,005930,2016-03-31,26120,26279,25960,26240,0.31,382615
KOSPI,삼성전자,005930,2016-04-01,25980,26180,25420,25580,-2.52,271156
KOSPI,삼성전자,005930,2016-04-04,25580,26100,25580,26100,2.03,188046
KOSPI,삼성전자,005930,2016-04-05,25980,25980,25200,25200,-3.45,236319
KOSPI,삼성전자,005930,2016-04-06,25380,25820,25360,25700,1.98,184234
KOSPI,삼성전자,005930,2016-04-07,26000,26000,25160,25380,-1.25,258795
KOSPI,삼성전자,005930,2016-04-08,25380,25380,24800,24920,-1.81,251868
KOSPI,삼성전자,005930,2016-04-11,24920,25420,24920,25320,1.61,120693
KOSPI,삼성전자,005930,2016-04-12,25400,25620,25320,25500,0.71,134054
KOSPI,삼성전자,005930,2016-04-14,26000,26040,25780,26000,1.96,335327
KOSPI,삼성전자,005930,2016-04-15,26180,26200,25800,26000,0,136599
KOSPI,삼성전자,005930,2016-04-18,25900,26100,25840,25980,-0.08,128474
KOSPI,삼성전자,005930,2016-04-19,25880,25920,25660,25760,-0.85,144766
KOSPI,삼성전자,005930,2016-04-20,25640,26000,25640,25980,0.85,171972
KOSPI,삼성전자,005930,2016-04-21,26000,26020,25760,25880,-0.38,145089
KOSPI,삼성전자,005930,2016-04-22,25880,25880,25540,25600,-1.08,114830
KOSPI,삼성전자,005930,2016-04-25,25700,25700,25420,25620,0.08,91957
KOSPI,삼성전자,005930,2016-04-26,25700,26100,25660,25920,1.17,166901
KOSPI,삼성전자,005930,2016-04-27,25880,26000,25720,26000,0.31,165946
KOSPI,삼성전자,005930,2016-04-28,26000,26000,25220,25300,-2.69,293069
KOSPI,삼성전자,005930,2016-04-29,25200,25340,24840,24900,-1.58,325078
KOSPI,삼성전자,005930,2016-05-02,24940,25240,24900,25000,0.4,140552
KOSPI,삼성전자,005930,2016-05-03,25340,25400,25120,25220,0.88,158066
KOSPI,삼성전자,005930,2016-05-04,25440,25800,25240,25800,2.3,294055
KOSPI,삼성전자,005930,2016-05-09,25800,26000,25700,25980,0.7,312894
KOSPI,삼성전자,005930,2016-05-10,25980,26000,25760,25920,-0.23,171191
KOSPI,삼성전자,005930,2016-05-11,25920,25980,25740,25840,-0.31,176688
KOSPI,삼성전자,005930,2016-05-12,25840,25840,25500,25620,-0.85,152302
KOSPI,삼성전자,005930,2016-05-13,25620,25620,25020,25060,-2.19,245698
KOSPI,삼성전자,005930,2016-05-16,25060,25260,24940,24960,-0.4,234403
KOSPI,삼성전자,005930,2016-05-17,24980,25300,24980,25280,1.28,183671
KOSPI,삼성전자,005930,2016-05-18,25280,25420,25100,25360,0.32,183392
KOSPI,삼성전자,005930,2016-05-19,25360,25540,25320,25400,0.16,200249
KOSPI,삼성전자,005930,2016-05-20,25400,25600,25380,25380,-0.08,159211
KOSPI,삼성전자,005930,2016-05-23,25380,25720,25380,25720,1.34,162251
KOSPI,삼성전자,005930,2016-05-24,25720,25780,25360,25420,-1.17,208692
KOSPI,삼성전자,005930,2016-05-25,25660,25960,25480,25900,1.89,237255
KOSPI,삼성전자,005930,2016-05-26,25980,26060,25900,25920,0.08,253073
KOSPI,삼성전자,005930,2016-05-27,26000,26020,25460,25640,-1.08,274891
KOSPI,삼성전자,005930,2016-05-30,25940,25940,25480,25600,-0.16,206307
KOSPI,삼성전자,005930,2016-05-31,25600,26000,25360,25840,0.94,1250554
KOSPI,삼성전자,005930,2016-06-01,25960,26820,25900,26660,3.17,470080
KOSPI,삼성전자,005930,2016-06-02,27000,27440,26920,27300,2.4,476139
KOSPI,삼성전자,005930,2016-06-03,27400,27580,27280,27540,0.88,341324
KOSPI,삼성전자,005930,2016-06-07,27720,28040,27600,27960,1.53,462843
KOSPI,삼성전자,005930,2016-06-08,28380,28380,27780,28120,0.57,376162
KOSPI,삼성전자,005930,2016-06-09,28160,28600,28120,28600,1.71,515375
KOSPI,삼성전자,005930,2016-06-10,28480,28500,28080,28120,-1.68,289681
KOSPI,삼성전자,005930,2016-06-13,27920,27920,27240,27420,-2.49,304966
KOSPI,삼성전자,005930,2016-06-14,27420,27720,27380,27600,0.66,245461
KOSPI,삼성전자,005930,2016-06-15,27699,28320,27660,28260,2.39,306689
KOSPI,삼성전자,005930,2016-06-16,28259,28340,27900,28180,-0.28,292431
KOSPI,삼성전자,005930,2016-06-17,28200,28700,28200,28520,1.21,328394
KOSPI,삼성전자,005930,2016-06-20,28540,28960,28519,28620,0.35,270316
KOSPI,삼성전자,005930,2016-06-21,28640,28980,28520,28960,1.19,200411
KOSPI,삼성전자,005930,2016-06-22,28920,29000,28620,28900,-0.21,178965
KOSPI,삼성전자,005930,2016-06-23,28880,28900,28540,28600,-1.04,225126
KOSPI,삼성전자,005930,2016-06-24,28900,28900,27200,28000,-2.1,411052
KOSPI,삼성전자,005930,2016-06-27,28000,28099,27700,27960,-0.14,236780
KOSPI,삼성전자,005930,2016-06-28,27800,28080,27579,27980,0.07,214379
KOSPI,삼성전자,005930,2016-06-29,28160,28240,27820,27920,-0.21,210541
KOSPI,삼성전자,005930,2016-06-30,28160,28900,27940,28500,2.08,272943
